No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
1,74256-51879,US,LS,48.116035,-123.43481799999999,110 E 3rd St,port angeles,WA,983623010,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
2,79652-104215,US,LS,48.105707,-123.379985,2709 E. HIGHWAY 101,port angeles,WA,983628767,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
3,9940-96882,US,CO,48.077861,-123.12986200000002,1095 W. Washington Street,sequim,WA,983823306,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,16:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:30,05:00,20:00
4,74255-51779,US,LS,48.080661,-123.117224,680F W Washington,sequim,WA,983823264,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
5,64668-298098,US,LS,48.286608,-122.66150400000001,1450 SW Erie Street,oak harbor,WA,98277,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
6,3286-290340,US,CO,48.285758,-122.660583,31270 SR 20|Unit A-1,oak harbor,WA,98277,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:00,05:00,20:00,05:00,20:00
7,74882-99767,US,LS,48.289246999999996,-122.65901699999999,"31565 State Route 20, #1",oak harbor,WA,982773172,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:30,19:00,06:30,19:00,06:30,19:00,06:30,19:00,06:30,19:00,07:00,19:00,07:00,19:00
8,74267-130085,US,LS,48.108069,-122.782622,442 W Sims Way,port townsend,WA,983681811,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
9,13776-105935,US,CO,48.303055,-122.6472,32650 SR 20|A-107,oak harbor,WA,982772641,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30
10,3279-1869,US,CO,48.50783,-122.61283200000001,1720 Commercial Avenue|Fidalgo Square,anacortes,WA,982212325,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30,05:00,20:30
11,74770-75586,US,LS,48.512603000000006,-122.611899,911 11th St,anacortes,WA,982214131,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
12,79432-102666,US,LS,48.032334000000006,-122.758443,1890 Irondale Road,port hadlock-irondale,WA,983399582,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
13,76748-106267,US,LS,43.971610999999996,-75.96028100000001,21855 Towne Center Dr,watertown,NY,136015898,Eastern Standard Time,GMT-05:00,America/New_York,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
14,10609-101494,US,CO,43.976606,-75.946539,1242 Arsenal Street,watertown,NY,136012214,Eastern Standard Time,GMT-05:00,America/New_York,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00,05:30,20:00
15,47127-248044,US,LS,44.043566999999996,-75.807132,10730 Memorial Dr # B,fort drum,NY,13602,Eastern Standard Time,GMT-05:00,America/New_York,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,09:00,16:00,09:00,16:00
16,54612-286625,US,CO,48.995774,-122.75148300000001,530 Peace Portal Drive,blaine,WA,982304013,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00
17,13422-103654,US,CO,48.934273,-122.48461299999998,8082 Guide Meridian Ave|101,lynden,WA,982649239,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:30,19:00,05:30,19:00
18,79585-104972,US,LS,48.934342,-122.48730900000001,8071 GUIDE MERIDIAN RD. #101,lynden,WA,982649236,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
19,354-280971,US,CO,48.798046,-122.486572,4303 Guide Meridian|101,bellingham,WA,982266475,Pacific Standard Time,GMT-08:00,America/Los_Angeles,05:00,19:30,05:00,19:30,05:00,19:30,05:00,19:30,05:00,20:00,05:00,20:00,05:00,19:30
20,23339-229084,US,LS,48.774454,-122.458501,1275 E Sunset Dr,bellingham,WA,98226,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
21,321-153984,US,CO,48.772326,-122.460877,1185 East Sunset Drive,bellingham,WA,982263508,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,21:00,04:30,21:00,04:30,21:00,04:30,21:00,04:30,21:00,04:30,21:00,04:30,21:00
22,9378-94210,US,CO,48.78937,-122.508772,1031 W. Bakerview Rd,bellingham,WA,982269123,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,19:00,04:30,19:00,04:30,19:00,04:30,19:00,04:30,19:00,04:30,19:00,05:00,19:00
23,55354-288707,US,LS,48.843368,-122.58022700000001,1815 Main Street,ferndale,WA,98248,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
24,22386-78901,US,LS,48.788865,-122.511101,1225 W Bakerview Rd,bellingham,WA,982296219,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
25,75921-104040,US,LS,43.086574,-79.05935600000001,300 Third Street,niagara falls,NY,143031102,Eastern Standard Time,GMT-05:00,America/New_York,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00
26,19901-201424,US,CO,43.089616,-78.987782,6690 Niagara Falls Boulevard|100,niagara falls,NY,143042252,Eastern Standard Time,GMT-05:00,America/New_York,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,23:00,06:00,23:00,06:30,21:00
27,55159-141272,US,LS,43.089895,-78.979745,7414 Niagara Falls Blvd,niagara falls,NY,143041720,Eastern Standard Time,GMT-05:00,America/New_York,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
28,67255-300897,US,LS,43.171509,-79.031319,906 Center Street,lewiston,NY,14092,Eastern Standard Time,GMT-05:00,America/New_York,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
29,50060-272564,US,CO,43.036951,-78.82263499999999,3015 Niagara Falls Blvd.,amherst,NY,14228,Eastern Standard Time,GMT-05:00,America/New_York,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,06:00,22:00
30,55738-146006,US,LS,42.955524,-78.873949,2626 Delaware Ave,buffalo,NY,142161737,Eastern Standard Time,GMT-05:00,America/New_York,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
31,7799-63000,US,CO,42.957978999999995,-78.870023,2730 Delaware Avenue,buffalo,NY,142161146,Eastern Standard Time,GMT-05:00,America/New_York,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,06:00,19:00,06:00,19:00
32,7327-676,US,CO,43.00065,-78.82182399999999,1703 Niagara Falls Boulevard,amherst,NY,142282705,Eastern Standard Time,GMT-05:00,America/New_York,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00,05:00,19:00
33,59066-293192,US,LS,42.933857,-78.880107,1300 Elmwood Avenue,buffalo,NY,14222,Eastern Standard Time,GMT-05:00,America/New_York,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,18:00,12:00,17:00,12:00,17:00
